full_name,birthday,birthday_GMT,league,season,position,Current Club,minutes_played_home,minutes_played_away,nationality,appearances_home,appearances_away,age,minutes_played_overall,appearances_overall,goals_overall,assists_overall,penalty_goals,penalty_misses,conceded_overall,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,clean_sheets_overall,rank,goals_home,goals_away,assists_home,assists_away,clean_sheets_home,clean_sheets_away,conceded_home,conceded_away,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_club_top_scorer,rank_frac,rank_in_league_top_Strikers,rank_in_league_top_Strikers,rank_in_league_top_attackers
Jon Gorenc Stankovič,821577600,14-01-96,Premier League,2018/2019,Striker,Huddersfield Town,218,500,Slovenia,3,8,25,718,11,1,0,0,0,19,2,0,0.13,0,0.13,2,4,0,1,0,0,1,1,3,16,0,0.18,718,2.38,38,65,359,0,0.25,8,3.987272727,171,291,139
Fabian Delph,627609600,21-11-89,Premier League,2018/2019,Striker,Manchester City,266,459,England,5,6,31,725,11,0,1,0,0,9,2,1,0.12,0.12,0,4,4,0,0,1,0,1,3,4,5,0,0,0,1.12,81,66,242,725,0.37,19,3.558181818,-1,123,295
Juan Marcos Foyth,884563200,12-01-98,Premier League,2018/2019,Striker,Tottenham Hotspur,450,480,Argentina,6,6,23,930,12,1,0,0,0,10,4,1,0.1,0,0.1,4,4,0,1,0,0,3,1,2,8,0,0.19,930,0.97,93,78,186,0,0.48,14,3.109090909,28,334,157
Martin Kelly,641174400,27-04-90,Premier League,2018/2019,Striker,Crystal Palace,660,450,England,8,5,30,1110,13,0,0,0,0,18,2,0,0,0,0,3,4,0,0,0,0,2,1,11,7,0,0,0,1.46,62,85,555,0,0.16,18,3.636363636,110,350,326
Marouane Fellaini,564537600,22-11-87,Premier League,2018/2019,Striker,Manchester United,217,527,Belgium,6,8,33,744,14,0,1,0,0,13,1,0,0.12,0.12,0,2,4,0,0,0,1,1,1,2,11,0,0,0,1.57,57,53,744,744,0.12,22,3.421818182,-1,129,341
José Diogo Dalot Teixeira,921715200,18-03-99,Premier League,2018/2019,Striker,Manchester United,525,490,Portugal,7,9,22,1015,16,0,2,0,0,18,3,0,0.18,0.18,0,2,4,0,0,2,0,0,2,8,10,0,0,0,1.6,56,63,338,508,0.27,17,3.496363636,131,77,283
Grady Diangana,892944000,19-04-98,Premier League,2018/2019,Striker,West Ham United,326,278,England,9,8,22,604,17,0,1,0,0,11,0,0,0.15,0.15,0,2,4,0,0,1,0,1,1,8,3,0,0,0,1.64,55,36,0,604,0,18,3.8,-1,89,298
Christian Kabasele,667353600,24-02-91,Premier League,2018/2019,Striker,Watford,957,630,Belgium,14,7,30,1587,21,0,0,0,0,25,4,1,0,0,0,4,4,0,0,0,0,3,1,15,10,0,0,0,1.42,63,76,397,0,0.23,24,3.272727273,101,402,393
Matthew Lowton,613353600,09-06-89,Premier League,2018/2019,Striker,Burnley,810,938,England,9,12,31,1748,21,0,0,0,0,35,7,0,0,0,0,4,4,0,0,0,0,2,2,16,19,0,0,0,1.8,50,83,250,0,0.36,22,3.681818182,150,342,378
André-Frank Zambo Anguissa,816480000,16-11-95,Premier League,2018/2019,Striker,Fulham,587,931,Cameroon,10,12,25,1518,22,0,0,0,0,30,3,1,0,0,0,3,4,0,0,0,0,2,1,10,20,0,0,0,1.78,51,69,506,0,0.18,19,3.227272727,-1,285,288
Jan Bednarek,829267200,12-04-96,Premier League,2018/2019,Striker,Southampton,1126,1025,Poland,13,12,24,2151,25,0,1,0,0,33,7,0,0.04,0.04,0,3,4,0,0,0,1,1,2,19,14,0,0,0,1.38,65,86,307,2151,0.29,24,3.08,98,225,377
Jonathan Hogg,597369600,06-12-88,Premier League,2018/2019,Striker,Huddersfield Town,1294,1083,England,16,13,32,2377,29,0,1,0,0,42,9,1,0.04,0.04,0,5,4,0,0,1,0,3,2,23,19,0,0,0,1.59,57,82,238,2377,0.38,28,3.898181818,-1,231,330
Serge Aurier,725155200,24-12-92,Premier League,2018/2019,Striker,Tottenham Hotspur,136,428,Côte d'Ivoire,2,6,28,564,8,0,2,0,0,9,1,0,0.32,0.32,0,3,5,0,0,0,2,0,3,2,7,0,0,0,1.44,63,71,564,282,0.16,27,4.958181818,108,15,351
Hamza Choudhury,875664000,01-10-97,Premier League,2018/2019,Striker,Leicester City,308,288,England,4,5,23,596,9,0,0,0,0,4,0,0,0,0,0,4,5,0,0,0,0,2,2,3,1,0,0,0,0.6,149,66,0,0,0,23,4.363636364,-1,297,275
Callum Hudson-Odoi,973555200,07-11-00,Premier League,2018/2019,Striker,Chelsea,267,124,England,6,4,20,391,10,0,1,0,0,5,0,0,0.23,0.23,0,3,5,0,0,1,0,3,0,2,3,0,0,0,1.15,78,39,0,391,0,16,4.414545455,-1,54,277
Manuel Lanzini,729734400,15-02-93,Premier League,2018/2019,Striker,West Ham United,367,321,Argentina,5,5,28,688,10,1,1,0,0,11,2,0,0.26,0.13,0.13,2,5,0,1,0,1,2,0,5,6,0,0.28,688,1.44,63,69,344,688,0.26,12,4.02,-1,111,130
Florian Lejeune,674697600,20-05-91,Premier League,2018/2019,Striker,Newcastle United,515,540,France,6,6,29,1055,12,0,0,0,0,12,0,0,0,0,0,3,5,0,0,0,0,3,0,3,9,0,0,0,1.02,88,88,0,0,0,14,4.090909091,36,301,278
Artur Boruc,319852800,20-02-80,Premier League,2018/2019,Striker,AFC Bournemouth,540,540,Poland,6,6,41,1080,12,0,0,0,0,17,2,0,0,0,0,4,5,0,0,0,0,2,2,4,13,0,0,0,1.42,64,90,540,0,0.17,20,4.545454545,100,394,361
Angus Gunn,822268800,22-01-96,Premier League,2018/2019,Striker,Southampton,540,540,England,6,6,25,1080,12,0,0,0,0,17,0,0,0,0,0,3,5,0,0,0,0,1,2,9,8,0,0,0,1.42,64,90,0,0,0,25,4.545454545,104,339,376
Chris Mepham,878688000,05-11-97,Premier League,2018/2019,Striker,AFC Bournemouth,436,413,Wales,6,7,23,849,13,0,1,0,0,16,1,0,0.11,0.11,0,3,5,0,0,0,1,1,2,7,9,0,0,0,1.7,53,65,849,849,0.11,17,4.674545455,142,133,279
Yerry Fernando Mina González,780278400,23-09-94,Premier League,2018/2019,Striker,Everton,360,530,Colombia,6,7,26,890,13,1,0,0,0,12,3,0,0.1,0,0.1,4,5,0,1,0,0,3,1,3,9,0,0.17,890,1.21,74,68,297,0,0.3,9,4.790909091,67,329,161
Wesley Hoedt,762912000,06-03-94,Premier League,2018/2019,Striker,Southampton,540,630,Netherlands,6,7,27,1170,13,0,0,0,0,20,2,0,0,0,0,4,5,0,0,0,0,2,2,5,15,0,0,0,1.54,59,90,585,0,0.15,27,4.818181818,123,370,374
Alfie Mawson,758937600,19-01-94,Premier League,2018/2019,Striker,Fulham,547,584,England,8,7,27,1131,15,0,0,0,0,25,2,0,0,0,0,3,5,0,0,0,0,2,1,10,15,0,0,0,1.99,45,75,566,0,0.16,11,4.272727273,161,255,307
Mohamed Elyounoussi,775958400,04-08-94,Premier League,2018/2019,Striker,Southampton,393,397,Norway,8,8,26,790,16,0,0,0,0,8,0,0,0,0,0,4,5,0,0,0,0,2,2,5,3,0,0,0,0.91,99,49,0,0,0,26,4.727272727,-1,368,375
Ainsley Maitland-Niles,872812800,29-08-97,Premier League,2018/2019,Striker,Arsenal,462,523,England,7,9,23,985,16,1,1,0,0,16,3,1,0.18,0.09,0.09,4,5,0,1,0,1,3,1,5,11,0,0.17,985,1.46,62,62,328,985,0.27,15,4.814545455,-1,167,174
Daryl Janmaat,617068800,22-07-89,Premier League,2018/2019,Striker,Watford,836,685,Netherlands,10,8,31,1521,18,0,2,0,0,22,3,0,0.12,0.12,0,3,5,0,0,2,0,2,1,8,14,0,0,0,1.3,69,85,507,761,0.18,23,4.74,84,121,395
Romain Saïss,638409600,26-03-90,Premier League,2018/2019,Striker,Wolverhampton Wanderers,544,600,Morocco,8,11,31,1144,19,2,0,0,0,16,7,0,0.16,0,0.16,4,5,1,1,0,0,3,1,6,10,0.17,0.15,572,1.26,72,60,163,0,0.55,7,4.274545455,-1,264,115
Tom Heaton,513907200,15-04-86,Premier League,2018/2019,Striker,Burnley,900,810,England,10,9,34,1710,19,0,0,0,0,23,3,0,0,0,0,4,5,0,0,0,0,3,1,10,13,0,0,0,1.21,74,90,570,0,0.16,18,4.590909091,68,354,382
Juninho Bacuna,870912000,07-08-97,Premier League,2018/2019,Striker,Huddersfield Town,722,692,Netherlands,11,10,23,1414,21,1,0,0,0,36,4,0,0.06,0,0.06,2,5,0,1,0,0,2,0,15,21,0,0.13,1414,2.29,39,67,354,0,0.25,7,4.392727273,-1,325,205
Yann Valery,919641600,22-02-99,Premier League,2018/2019,Striker,Southampton,1070,645,France,13,10,22,1715,23,2,1,0,0,26,5,1,0.16,0.05,0.1,3,5,1,1,1,0,1,2,17,9,0.08,0.14,858,1.36,66,75,343,1715,0.26,7,4.673636364,95,214,162
Oriol Romeu,685670400,24-09-91,Premier League,2018/2019,Striker,Southampton,1110,1030,Spain,16,15,29,2140,31,1,0,0,0,32,11,0,0.04,0,0.04,6,5,1,0,0,0,3,3,16,16,0.08,0,2140,1.35,67,69,195,0,0.46,9,4.489090909,-1,371,244
Kyle Walker-Peters,860889600,13-04-97,Premier League,2018/2019,Striker,Tottenham Hotspur,272,102,England,4,2,23,374,6,0,3,0,0,4,1,0,0.72,0.72,0,3,6,0,0,3,0,2,1,2,2,0,0,0,0.96,94,62,374,125,0.24,21,5.803636364,25,1,357
Phil Jagielka,398390400,17-08-82,Premier League,2018/2019,Striker,Everton,95,234,England,3,4,38,329,7,1,0,0,0,2,1,1,0.27,0,0.27,5,6,1,0,0,0,3,2,0,2,0.95,0,329,0.55,165,47,165,0,0.55,13,5.221818182,9,272,71
Kadeem Harris,739497600,08-06-93,Premier League,2018/2019,Striker,Cardiff City,133,233,England,5,8,27,366,13,1,0,0,0,5,1,0,0.25,0,0.25,4,6,1,0,0,0,1,3,1,4,0.68,0,366,1.23,73,28,366,0,0.25,11,5.454545455,-1,262,79
Adam David Lallana,579225600,10-05-88,Premier League,2018/2019,Striker,Liverpool,189,276,England,6,7,32,465,13,0,0,0,0,2,1,0,0,0,0,6,6,0,0,0,0,1,5,1,1,0,0,0,0.39,233,36,465,0,0.19,18,5.681818182,-1,344,379
Tom Cleverley,618883200,12-08-89,Premier League,2018/2019,Striker,Watford,102,368,England,4,9,31,470,13,1,0,0,0,7,2,0,0.19,0,0.19,4,6,0,1,0,0,2,2,0,7,0,0.24,470,1.34,67,36,235,0,0.38,11,5.016363636,-1,298,99
Bruno Saltor Grau,339206400,01-10-80,Premier League,2018/2019,Striker,Brighton & Hove Albion,534,602,Spain,6,8,40,1136,14,0,1,0,0,17,2,0,0.08,0.08,0,4,6,0,0,1,0,2,2,8,9,0,0,0,1.35,67,81,568,1136,0.16,19,5.205454545,92,175,399
Floyd Ayité,598147200,15-12-88,Premier League,2018/2019,Striker,Fulham,296,169,Togo,7,9,32,465,16,1,0,0,0,13,0,0,0.19,0,0.19,3,6,0,1,0,0,1,2,7,6,0,0.53,465,2.52,36,29,0,0,0,9,5.561818182,-1,268,101
Tom Davies,899164800,30-06-98,Premier League,2018/2019,Striker,Everton,520,455,England,8,8,22,975,16,0,0,0,0,18,3,0,0,0,0,5,6,0,0,0,0,3,2,12,6,0,0,0,1.66,54,61,325,0,0.28,18,5.136363636,-1,380,416
Matt Targett,811382400,18-09-95,Premier League,2018/2019,Striker,Southampton,483,702,England,7,9,25,1185,16,1,3,0,0,24,2,0,0.3,0.23,0.08,1,6,1,0,2,1,0,1,10,14,0.19,0,1185,1.82,49,74,593,395,0.15,11,5.291818182,151,51,183
Rúben Gonçalo Silva Nascimento Vinagre,923616000,09-04-99,Premier League,2018/2019,Striker,Wolverhampton Wanderers,514,189,Portugal,12,5,22,703,17,0,0,0,0,9,1,0,0,0,0,5,6,0,0,0,0,4,1,6,3,0,0,0,1.15,78,41,703,0,0.13,15,5.318181818,54,323,406
Vincent Kompany,513475200,10-04-86,Premier League,2018/2019,Striker,Manchester City,561,662,Belgium,8,9,34,1223,17,1,0,0,0,7,6,0,0.07,0,0.07,7,6,1,0,0,0,3,4,3,4,0.16,0,1223,0.52,175,72,204,0,0.44,12,5.776363636,7,384,194
Phil Jones,698630400,21-02-92,Premier League,2018/2019,Striker,Manchester United,652,611,England,9,9,29,1263,18,0,1,0,0,16,1,0,0.07,0.07,0,4,6,0,0,0,1,0,4,9,7,0,0,0,1.14,79,70,1263,1263,0.07,24,5.594545455,51,189,299
Federico Fernández,604022400,21-02-89,Premier League,2018/2019,Striker,Newcastle United,607,877,Argentina,8,11,32,1484,19,0,1,0,0,22,2,0,0.06,0.06,0,4,6,0,0,1,0,1,3,9,13,0,0,0,1.33,67,78,742,1484,0.12,15,5.62,90,194,297
Lee Peltier,534643200,11-12-86,Premier League,2018/2019,Striker,Cardiff City,521,1021,England,7,13,34,1542,20,0,0,0,0,21,4,0,0,0,0,6,6,0,0,0,0,2,4,9,12,0,0,0,1.23,73,77,386,0,0.23,21,5.909090909,72,391,352
Aaron Cresswell,629683200,15-12-89,Premier League,2018/2019,Striker,West Ham United,888,701,England,11,9,31,1589,20,0,1,0,0,22,1,0,0.06,0.06,0,3,6,0,0,1,0,2,1,12,10,0,0,0,1.25,72,79,1589,1589,0.06,20,5.12,80,191,290
Bernardo,800409600,14-05-95,Premier League,2018/2019,Striker,Brighton & Hove Albion,990,760,Brazil,11,11,25,1750,22,0,1,0,0,28,4,0,0.05,0.05,0,4,6,0,0,1,0,2,2,17,11,0,0,0,1.44,63,80,438,1750,0.21,20,5.145454545,107,200,400
Jannik Vestergaard,712800000,03-08-92,Premier League,2018/2019,Striker,Southampton,1130,900,Denmark,13,10,28,2030,23,0,0,0,0,27,2,0,0,0,0,4,6,0,0,0,0,2,2,14,13,0,0,0,1.2,75,88,1015,0,0.09,28,5.454545455,65,367,373
Harry Arter,630806400,28-12-89,Premier League,2018/2019,Striker,Cardiff City,1186,822,Republic of Ireland,14,11,31,2008,25,0,1,0,0,37,10,0,0.04,0.04,0,7,6,0,0,1,0,4,3,25,12,0,0,0,1.66,54,80,201,2008,0.45,16,5.943636364,-1,221,304
Martín Montoya,671587200,14-04-91,Premier League,2018/2019,Striker,Brighton & Hove Albion,1176,990,Spain,14,11,29,2166,25,0,1,0,0,38,4,0,0.04,0.04,0,3,6,0,0,0,1,3,0,18,20,0,0,0,1.58,57,87,542,2166,0.17,13,5.034545455,128,229,294
Sokratis Papastathopoulos,581817600,09-06-88,Premier League,2018/2019,Striker,Arsenal,1119,1080,Greece,13,12,32,2199,25,1,2,0,0,31,12,0,0.12,0.08,0.04,6,6,0,1,2,0,6,0,9,22,0,0.08,2199,1.27,71,88,183,1100,0.49,12,5.058181818,82,173,234
Pablo Zabaleta,474681600,16-01-85,Premier League,2018/2019,Striker,West Ham United,1216,876,Argentina,14,12,36,2092,26,0,1,0,0,32,4,0,0.04,0.04,0,4,6,0,0,1,0,2,2,22,10,0,0,0,1.38,65,80,523,2092,0.17,23,5.489090909,99,223,370
Yves Bissouma,841363200,30-08-96,Premier League,2018/2019,Striker,Brighton & Hove Albion,747,1022,Mali,13,15,24,1769,28,0,0,0,0,30,5,0,0,0,0,5,6,0,0,0,0,4,1,14,16,0,0,0,1.53,59,63,354,0,0.25,17,5.227272727,-1,293,402
Cyrus Christie,717811200,30-09-92,Premier League,2018/2019,Striker,Fulham,1053,890,Republic of Ireland,15,13,28,1943,28,0,1,0,0,40,7,0,0.05,0.05,0,5,6,0,0,1,0,3,2,20,20,0,0,0,1.85,49,69,278,1943,0.32,27,5.736363636,155,205,315
Nemanja Matić,586396800,01-08-88,Premier League,2018/2019,Striker,Manchester United,1051,1390,Serbia,12,16,32,2441,28,1,0,0,0,35,8,1,0.04,0,0.04,6,6,1,0,0,0,1,5,14,21,0.09,0,2441,1.29,70,87,305,0,0.29,11,5.261818182,-1,257,239
Chris Löwe,608688000,16-04-89,Premier League,2018/2019,Striker,Huddersfield Town,932,1124,Germany,15,14,31,2056,29,0,2,0,0,52,2,0,0.09,0.09,0,1,6,0,0,1,1,1,0,19,33,0,0,0,2.28,40,71,1028,1028,0.09,30,5.907272727,169,163,328
Ashley Young,489715200,09-07-85,Premier League,2018/2019,Striker,Manchester United,1207,1361,England,14,16,35,2568,30,2,2,0,0,41,10,1,0.14,0.07,0.07,4,6,1,1,2,0,2,2,16,25,0.07,0.07,1284,1.44,63,86,257,1284,0.35,9,5.007272727,-1,181,195
Etienne Capoue,584582400,11-07-88,Premier League,2018/2019,Striker,Watford,1518,1429,France,17,16,32,2947,33,1,3,0,0,47,15,1,0.12,0.09,0.03,7,6,0,1,2,1,4,3,24,23,0,0.06,2947,1.44,63,89,184,982,0.49,9,5.512727273,-1,153,253
Danilo,679536000,15-07-91,Premier League,2018/2019,Striker,Manchester City,450,356,Brazil,5,6,29,806,11,1,0,0,0,7,1,0,0.11,0,0.11,5,7,0,1,0,0,3,2,2,5,0,0.25,806,0.78,115,73,806,0,0.11,13,6.356363636,18,318,151
Ciaran Clark,622771200,26-09-89,Premier League,2018/2019,Striker,Newcastle United,416,441,Republic of Ireland,6,5,31,857,11,3,0,0,0,14,1,0,0.32,0,0.32,2,7,1,2,0,0,0,2,9,5,0.22,0.41,286,1.47,61,78,857,0,0.11,4,6.412727273,113,315,56
Victor Wanyama,677808000,25-06-91,Premier League,2018/2019,Striker,Tottenham Hotspur,302,207,Kenya,9,4,29,509,13,1,0,0,0,3,2,0,0.18,0,0.18,6,7,1,0,0,0,4,2,3,0,0.3,0,509,0.53,170,39,255,0,0.35,11,6.632727273,-1,266,106
Scott McTominay,850003200,08-12-96,Premier League,2018/2019,Striker,Manchester United,345,516,England,7,9,24,861,16,2,0,0,0,17,1,0,0.21,0,0.21,3,7,0,2,0,0,1,2,6,11,0,0.35,431,1.78,51,54,861,0,0.1,8,6.465454545,-1,303,91
Harvey Lewis Barnes,881625600,09-12-97,Premier League,2018/2019,Striker,Leicester City,601,406,England,9,7,23,1007,16,1,2,0,0,16,0,0,0.27,0.18,0.09,3,7,0,1,2,0,3,0,7,9,0,0.22,1007,1.43,63,63,0,504,0,10,6.994545455,-1,78,175
Maya Yoshida,588384000,24-08-88,Premier League,2018/2019,Striker,Southampton,800,720,Japan,9,8,32,1520,17,0,1,0,0,27,0,0,0.06,0.06,0,3,7,0,0,1,0,1,2,14,13,0,0,0,1.6,56,89,0,1520,0,23,6.074545455,133,192,308
Beram Kayal,578534400,02-05-88,Premier League,2018/2019,Striker,Brighton & Hove Albion,494,440,Israel,9,9,32,934,18,1,1,0,0,15,4,0,0.19,0.1,0.1,5,7,0,1,1,0,3,2,8,7,0,0.2,934,1.45,62,52,234,934,0.39,8,6.253636364,-1,146,163
Sung-Yeung Ki,601603200,24-01-89,Premier League,2018/2019,Striker,Newcastle United,824,478,South Korea,10,8,32,1302,18,0,1,0,0,18,2,0,0.07,0.07,0,5,7,0,0,1,0,2,3,12,6,0,0,0,1.24,72,72,651,1302,0.14,20,6.276363636,-1,179,349
Mario Lemina,746841600,01-09-93,Premier League,2018/2019,Striker,Southampton,763,852,Gabon,9,12,27,1615,21,1,1,0,0,32,5,0,0.11,0.06,0.06,4,7,0,1,0,1,2,2,12,20,0,0.11,1615,1.78,50,77,323,1615,0.28,10,6.139090909,-1,195,211
Jan Vertonghen,546220800,24-04-87,Premier League,2018/2019,Striker,Tottenham Hotspur,884,1031,Belgium,10,12,33,1915,22,1,0,0,0,21,5,1,0.05,0,0.05,7,7,0,1,0,0,4,3,7,14,0,0.09,1915,0.99,91,87,383,0,0.23,10,6.509090909,31,282,225
Wes Morgan,443491200,21-01-84,Premier League,2018/2019,Striker,Leicester City,783,1143,Jamaica,9,13,37,1926,22,3,0,0,0,24,5,2,0.14,0,0.14,6,7,1,2,0,0,3,3,9,15,0.11,0.16,642,1.12,80,88,385,0,0.23,6,6.961818182,48,300,125
Jack Stephens,759628800,27-01-94,Premier League,2018/2019,Striker,Southampton,816,881,England,10,14,27,1697,24,1,0,0,0,30,4,0,0.05,0,0.05,5,7,1,0,0,0,2,3,11,19,0.11,0,1697,1.59,57,71,424,0,0.21,14,6.827272727,130,369,223
Florent Hadergjonaj,775612800,31-07-94,Premier League,2018/2019,Striker,Huddersfield Town,1011,829,Switzerland,12,12,26,1840,24,0,0,0,0,34,1,0,0,0,0,4,7,0,0,0,0,2,2,15,19,0,0,0,1.66,54,77,1840,0,0.05,29,6.590909091,135,376,329
Angelo Ogbonna,580348800,23-05-88,Premier League,2018/2019,Striker,West Ham United,956,914,Italy,12,12,32,1870,24,1,1,0,0,32,2,0,0.1,0.05,0.05,3,7,1,0,1,0,2,1,13,19,0.09,0,1870,1.54,58,78,935,1870,0.1,13,6.609090909,124,207,226
Ryan Bertrand,618278400,05-08-89,Premier League,2018/2019,Striker,Southampton,1170,990,England,13,11,31,2160,24,1,0,0,0,36,8,0,0.04,0,0.04,6,7,1,0,0,0,3,3,15,21,0.08,0,2160,1.5,60,90,270,0,0.33,13,6.352727273,117,366,245
Alex McCarthy,628646400,03-12-89,Premier League,2018/2019,Striker,Southampton,1170,1080,England,13,12,31,2250,25,0,0,0,0,37,1,0,0,0,0,4,7,0,0,0,0,2,2,16,21,0,0,0,1.48,61,90,2250,0,0.04,21,6.863636364,114,365,372
Morgan Gibbs-White,948931200,27-01-00,Premier League,2018/2019,Striker,Wolverhampton Wanderers,426,221,England,13,13,21,647,26,0,1,0,0,9,1,0,0.14,0.14,0,5,7,0,0,1,0,5,0,5,4,0,0,0,1.25,72,25,647,647,0.14,16,6.098181818,-1,107,408
Maxime Le Marchand,624067200,11-10-89,Premier League,2018/2019,Striker,Fulham,1171,1080,France,14,12,31,2251,26,0,1,0,0,50,5,0,0.04,0.04,0,4,7,0,0,1,0,3,1,23,27,0,0,0,2,45,87,450,2251,0.2,23,6.625454545,162,219,314
Joe Ralls,750470400,13-10-93,Premier League,2018/2019,Striker,Cardiff City,847,1112,England,15,13,27,1959,28,0,0,0,1,35,5,1,0,0,0,8,7,0,0,0,0,5,3,17,18,0,0,0,1.61,56,70,327,0,0.28,22,6.681818182,-1,383,336
Dale Stephens,613612800,12-06-89,Premier League,2018/2019,Striker,Brighton & Hove Albion,1191,1296,England,14,16,31,2487,30,1,1,0,0,43,7,1,0.07,0.04,0.04,5,7,0,1,0,1,3,2,18,25,0,0.07,2487,1.56,58,83,311,2487,0.29,9,6.059090909,-1,224,247
Shkodran Mustafi,703468800,17-04-92,Premier League,2018/2019,Striker,Arsenal,1263,1354,Germany,15,16,28,2617,31,2,0,0,0,36,9,0,0.07,0,0.07,6,7,0,2,0,0,5,1,12,24,0,0.13,1309,1.24,73,84,291,0,0.31,9,6.912727273,74,378,201
Benjamin Mendy,774403200,17-07-94,Premier League,2018/2019,Striker,Manchester City,450,450,France,5,5,26,900,10,0,5,0,0,6,1,0,0.5,0.5,0,4,8,0,0,3,2,1,3,4,2,0,0,0,0.6,150,90,900,180,0.1,18,7.545454545,12,3,311
Dejan Lovren,615600000,05-07-89,Premier League,2018/2019,Striker,Liverpool,540,445,Croatia,7,6,31,985,13,1,0,0,0,7,1,0,0.09,0,0.09,6,8,1,0,0,0,3,3,3,4,0.17,0,985,0.64,141,76,985,0,0.09,12,7.316363636,15,324,173
Morgan Schneiderlin,626486400,08-11-89,Premier League,2018/2019,Striker,Everton,473,360,France,9,5,31,833,14,0,1,0,0,9,2,0,0.11,0.11,0,7,8,0,0,1,0,5,2,5,4,0,0,0,0.97,93,60,417,833,0.22,20,7.538181818,-1,138,412
Jonjo Shelvey,699148800,27-02-92,Premier League,2018/2019,Striker,Newcastle United,403,541,England,8,8,29,944,16,1,1,0,0,11,1,0,0.19,0.1,0.1,5,8,0,1,0,1,1,4,8,3,0,0.17,944,1.05,86,59,944,944,0.1,12,7.39,-1,149,167
Aaron Lennon,545529600,16-04-87,Premier League,2018/2019,Striker,Burnley,487,730,England,7,9,33,1217,16,1,1,0,0,20,1,0,0.15,0.07,0.07,4,8,1,0,1,0,2,2,8,12,0.18,0,1217,1.48,61,76,1217,1217,0.07,10,7.108181818,-1,187,196
Simon Francis,477360000,16-02-85,Premier League,2018/2019,Striker,AFC Bournemouth,675,551,England,9,8,36,1226,17,0,2,0,0,23,1,0,0.15,0.15,0,5,8,0,0,1,1,3,2,11,12,0,0,0,1.69,53,72,1226,613,0.07,26,7.890909091,138,99,360
Nathaniel Clyne,670809600,05-04-91,Premier League,2018/2019,Striker,AFC Bournemouth,684,570,England,10,8,30,1254,18,0,1,0,0,24,2,0,0.07,0.07,0,6,8,0,0,0,1,4,2,6,18,0,0,0,1.72,52,70,627,1254,0.14,22,7.821818182,146,180,392
Andrew Surman,524880000,20-08-86,Premier League,2018/2019,Striker,AFC Bournemouth,526,912,England,7,11,34,1438,18,0,0,0,0,35,2,0,0,0,0,5,8,0,0,0,0,3,2,7,28,0,0,0,2.19,41,80,719,0,0.13,27,7.181818182,-1,379,359
Cedric Soares,683596800,31-08-91,Premier League,2018/2019,Striker,Southampton,651,843,Portugal,8,10,29,1494,18,1,2,0,0,26,4,0,0.18,0.12,0.06,5,8,1,0,0,2,2,3,7,19,0.14,0,1494,1.57,57,83,374,747,0.24,15,7.723636364,127,124,204
Wayne Hennessey,538444800,24-01-87,Premier League,2018/2019,Striker,Crystal Palace,675,900,Wales,8,10,34,1575,18,0,0,0,0,23,0,0,0,0,0,5,8,0,0,0,0,2,3,8,15,0,0,0,1.31,68,88,0,0,0,13,7.090909091,87,404,321
Jordon Ibe,818380800,08-12-95,Premier League,2018/2019,Striker,AFC Bournemouth,334,461,England,10,9,25,795,19,1,1,0,0,21,1,0,0.23,0.11,0.11,4,8,0,1,1,0,4,0,3,18,0,0.2,795,2.38,38,42,795,795,0.11,13,7.359090909,-1,134,154
Leander Dendoncker,797904000,15-04-95,Premier League,2018/2019,Striker,Wolverhampton Wanderers,635,834,Belgium,9,10,25,1469,19,2,0,0,0,19,1,0,0.12,0,0.12,4,8,1,1,0,0,4,0,6,13,0.14,0.11,735,1.16,77,77,1469,0,0.06,8,7.467272727,-1,331,146
Hector Bellerin,795571200,19-03-95,Premier League,2018/2019,Striker,Arsenal,882,653,Spain,10,9,26,1535,19,0,5,0,0,20,3,0,0.29,0.29,0,4,8,0,0,4,1,4,0,8,12,0,0,0,1.17,77,81,512,307,0.18,27,7.398181818,61,26,385
Joe Hart,545788800,19-04-87,Premier League,2018/2019,Striker,Burnley,810,900,England,9,10,33,1710,19,0,0,0,0,34,0,0,0,0,0,4,8,0,0,0,0,2,2,17,17,0,0,0,1.79,50,90,0,0,0,16,7.090909091,149,341,367
Vicente Guaita,537235200,10-01-87,Premier League,2018/2019,Striker,Crystal Palace,1035,720,Spain,12,8,34,1755,20,0,0,0,0,21,2,0,0,0,0,7,8,0,0,0,0,5,2,12,9,0,0,0,1.08,84,88,878,0,0.1,19,7.909090909,45,352,325
Gaëtan Bong Songo,577929600,25-04-88,Premier League,2018/2019,Striker,Brighton & Hove Albion,720,1085,Cameroon,8,14,32,1805,22,0,0,0,0,32,0,0,0,0,0,5,8,0,0,0,0,3,2,9,23,0,0,0,1.6,56,82,0,0,0,18,7.909090909,132,336,401
Arthur Masuaku,752630400,07-11-93,Premier League,2018/2019,Striker,West Ham United,822,934,France,11,12,27,1756,23,0,1,0,0,26,2,0,0.05,0.05,0,6,8,0,0,1,0,3,3,11,15,0,0,0,1.33,68,76,878,1756,0.1,25,7.963636364,89,203,368
